EDATE,::,,,....!........,,,
01-APR-21,01-APR-21,0,,B/F ...,0.00,"259,276.79","259,276.79"
05-APR-21,05-APR-21,18556,,MICR CHQ BK ISSUE,590.00,0.00,"258,686.79"
,,,,OTH THAN IND SC,,,
,,,,FOR CHEQUE BOOK,,,
,,,,DELIVERY,,,
23-APR-21,23-APR-21,18556,000000370639,NEFT DR-,"10,594.00",0.00,"248,092.79"
,,,,P113210105378358-,,,
,,,,GST-RBISOGSTPMT-,,,
,,,,GHAZIABAD(M),,,
23-APR-21,23-APR-21,18556,,NEFT SC,6.00,0.00,"248,086.79"
28-APR-21,28-APR-21,9999,370640,CIN-,"72,300.00",0.00,"175,786.79"
,,,,0240558280420210000,,,
,,,,4 HO,,,
01-MAY-21,01-MAY-21,18556,,SMS ALERT CHARGES,30.00,0.00,"175,756.79"
,,,,CA,,,
18-.Y-21,18-MAY-21,18556,,REV SMS ALERT,0.00,30.00,"175,786.79"
,,,,CHARGES CA,,,
28-MAY-21,28-MAY-21,1745,000000531222,BY CLG:DEL ACCTS-,0.00,"67,800.00","243,586.79"
,,,,"AXIS BANK LTD,",,,
27-JUN-21,27-JUN-21,18556,,SMS ALERT CHARGES,30.00,0.00,"243,556.79"
,,,,CA,,,
30-JUN-21,30-JUN-21,1745,000000566557,BY CLG:DEL ACCTS-,0.00,"67,800.00","311,356.79"
,,,,AXIS BANK LTD,,,
?6-JUL-21,26-JUL-21,18556,000000776471,NEFT DR-,"8,780.00",0.00,"302,576.79"
,,,,P207210118925583-,,,
,,,,GST-RBISOGSTPMT-,,,
,,,,GHAZIABAD(M),,,
:6-JUL-21,26-JUL-21,18556,,NEFT SC,3.00,0.00,"302,573.79"
6-JUL-21,26-JUL-21,18556,000000776472,NEFT DR-,"27,946.00",0.00,"274,627.79"
,,,,P207210118930217-,,,
,,,,GST-RBISOGSTPMT-,,,
,,,,GHAZIABAD(M),,,
6-JUL-21,26-JUL-21,18556,,NEFT sC,6.00,0.00,"274,621.79"
6-AUG-21,16-AUG-21,1745,000000776473,CHQ PAID-MICR,"9,720.00",0.00,"264,901.79"
,,,,JNWARD CLEARING-,,,
